 Ref_Format,Video_Format,H_Timing,V_Timing
1080i5994,1080p5994_A,1.26,  4 lines delayed
720p5994,1080p5994_A,7.33,0 line
525i5994,1080p5994_A,6.93,528 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.7,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,1.15,0 line
625i5000,1080i5000,0.18,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,1.3,0 line
625i5000,720p5000,0.12,0 line
1080i5000,1080p5000_A,2.7,  4 lines delayed
720p5000,1080p5000_A,6.23,  4 lines delayed
625i5000,1080p5000_A,0.74,0 line
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.97,0 line
720p5994,1080i5994,1.37,0 line
525i5994,1080i5994,0.22,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,0.82,0 line
525i5994,720p5994,0.17,0 line
1080i5994,1080p5994_A,0.13,0 line
720p5994,1080p5994_A,0.1,0 line
525i5994,1080p5994_A,1.06,0 line
1080i5994,525i5994,7.07, 57 lines advanced
720p5994,525i5994,3.4,0 line
525i5994,525i5994,2.51,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.95,0 line
625i5000,1080i5000,0.24,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.9,0 line
625i5000,720p5000,0.26,0 line
1080i5000,1080p5000_A,0.18,0 line
720p5000,1080p5000_A,0.14,0 line
625i5000,1080p5000_A,0.74,0 line
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,3.03,0 line
1080i5994,1080i5994,0.91,0 line
720p5994,1080i5994,1.13,0 line
525i5994,1080i5994,0.1,0 line
1080i5994,720p5994,0.89,0 line
720p5994,720p5994,1.3,0 line
525i5994,720p5994,0.24,0 line
1080i5994,1080p5994_A,0.13,0 line
720p5994,1080p5994_A,0.1,0 line
525i5994,1080p5994_A,6.79,119 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.33,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.97,0 line
625i5000,1080i5000,0.7,0 line
1080i5000,720p5000,0.97,0 line
720p5000,720p5000,0.99,0 line
625i5000,720p5000,0.52,0 line
720p5000,1080p5000_A,5.13,118 lines delayed
625i5000,1080p5000_A,5.81,443 lines advanced
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.81,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.15,0 line
525i5994,1080i5994,0.09,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,0.93,0 line
525i5994,720p5994,0.12,0 line
1080i5994,1080p5994_A,0.16,0 line
720p5994,1080p5994_A,4.35, 49 lines advanced
525i5994,1080p5994_A,4.62, 11 lines advanced
1080i5994,525i5994,3.4,0 line
720p5994,525i5994,3.92,0 line
525i5994,525i5994,2.51,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.98,0 line
625i5000,1080i5000,0.14,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.95,0 line
625i5000,720p5000,0.26,0 line
720p5000,1080p5000_A,0.13,0 line
625i5000,1080p5000_A,0.86,0 line
1080i5000,625i5000,1.18,0 line
720p5000,625i5000,1.03,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.95,0 line
720p5994,1080i5994,1.1,0 line
